YEAR,MONTH,DATE,SITE,TRANSECT,SIDE,QUAD_NO,SP_CODE,COUNT,NOTES,OBSERVER,ENTERED BY,CHECKED BY
2016,8,8/23/16,Ft Wetherill,1,OFF,Q0,SL,16,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,1,OFF,Q0,SLJ,3,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,1,OFF,Q0,LADI,2,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,1,OFF,Q0,URFE,1,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,1,ON,Q8,SL,19,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,1,ON,Q8,SLJ,40,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,1,ON,Q8,LADI,8,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,1,ON,Q8,STCL,2,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,1,ON,Q8,MESE,1,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,1,ON,Q8,BUCR,2,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,1,OFF,Q16,SL,1,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,1,OFF,Q16,LADI,1,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,1,OFF,Q16,LDJ,1,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,1,ON,Q24,SL,1,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,1,ON,Q24,SLJ,3,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,1,ON,Q24,MESE,4,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,1,ON,Q24,LDJ,3,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,1,ON,Q24,BOEC,1,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,1,OFF,Q32,SL,3,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,1,OFF,Q32,LADI,2,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,1,OFF,Q32,MESE,5,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,1,OFF,Q32,BOEC,6,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,1,OFF,Q32,PHGU,7,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,1,OFF,Q32,ASFO,1,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,1,OFF,Q32,BOOV,2,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,1,OFF,Q32,HOAS,1,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,1,ON,Q40,SL,2,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,1,ON,Q40,SLJ,1,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,1,ON,Q40,LADI,8,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,1,ON,Q40,LDJ,5,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,1,ON,Q40,MYSP,1,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,2,OFF,Q0,SL,12,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,2,OFF,Q0,SLJ,4,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,2,OFF,Q0,MESE,18,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,2,OFF,Q0,BUUN,1,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,2,OFF,Q0,PHGU,1,I'll check the hard copy,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,2,ON,Q8,LADI,2,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,2,ON,Q8,LDJ,1,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,2,OFF,Q16,SL,12,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,2,OFF,Q16,SLJ,2,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,2,OFF,Q16,MESE,3,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,2,OFF,Q16,LADI,4,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,2,OFF,Q16,LDJ,1,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,2,OFF,Q16,ASFO,1,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,2,OFF,Q16,STCL,2,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,2,OFF,Q16,PSFA,1,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,2,ON,Q24,SL,2,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,2,ON,Q24,SLJ,1,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,2,ON,Q24,MESE,4,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,2,ON,Q24,LADI,5,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,2,ON,Q24,LDJ,7,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,2,ON,Q24,ASFO,1,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,2,ON,Q24,STCL,1,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,2,ON,Q24,BUCR,1,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,2,OFF,Q32,SL,1,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,2,OFF,Q32,SLJ,3,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,2,OFF,Q32,LADI,1,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,2,OFF,Q32,LDJ,4,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,2,OFF,Q32,CUFR,1,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,2,ON,Q40,SLJ,1,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,2,ON,Q40,LADI,2,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,2,ON,Q40,ASFO,1,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,2,ON,Q40,STCL,1,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,2,ON,Q40,CUFR,1,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,2,ON,Q40,URFE,1,,Tal,Tal,Jack
2016,8,8/24/16,Ft Wetherill,3,ON,Q8,LADI,1,,Tal,Tal,Jack
2016,8,8/24/16,Ft Wetherill,3,ON,Q8,LDJ,1,,Tal,Tal,Jack
2016,8,8/24/16,Ft Wetherill,3,ON,Q8,SDS,2,,Tal,Tal,Jack
2016,8,8/24/16,Ft Wetherill,3,ON,Q8,STCL,1,,Tal,Tal,Jack
2016,8,8/24/16,Ft Wetherill,3,ON,Q8,SL,1,,Tal,Tal,Jack
2016,8,8/24/16,Ft Wetherill,3,ON,Q8,PHGU,1,,Tal,Tal,Jack
2016,8,8/24/16,Ft Wetherill,3,OFF,Q16,LADI,1,,Tal,Tal,Jack
2016,8,8/24/16,Ft Wetherill,3,OFF,Q16,SL,3,,Tal,Tal,Jack
2016,8,8/24/16,Ft Wetherill,3,OFF,Q16,URFE,1,,Tal,Tal,Jack
2016,8,8/24/16,Ft Wetherill,3,ON,Q24,SDS,1,,Tal,Tal,Jack
2016,8,8/24/16,Ft Wetherill,3,OFF,Q32,PHGU,4,,Tal,Tal,Jack
2016,8,8/24/16,Ft Wetherill,3,OFF,Q32,URFE,1,,Tal,Tal,Jack
2016,8,8/24/16,Ft Wetherill,3,ON,Q40,LADI,1,,Tal,Tal,Jack
2016,8,8/24/16,Ft Wetherill,3,ON,Q40,LDJ,1,,Tal,Tal,Jack
2016,8,8/24/16,Ft Wetherill,3,ON,Q40,SL,1,,Tal,Tal,Jack
2016,8,8/24/16,Ft Wetherill,3,ON,Q40,PHGU,5,,Tal,Tal,Jack
2016,8,8/24/16,Ft Wetherill,3,ON,Q40,HOAS,1,,Tal,Tal,Jack
2016,8,8/24/16,Ft Wetherill,3,ON,Q40,MFSE,3,,Tal,Tal,Jack
2016,8,8/24/16,Ft Wetherill,4,OFF,Q0,LADI,3,,Tal,Tal,Jack
2016,8,8/24/16,Ft Wetherill,4,OFF,Q0,LDJ,1,,Tal,Tal,Jack
2016,8,8/24/16,Ft Wetherill,4,OFF,Q0,CAIS,1,,Tal,Tal,Jack
2016,8,8/24/16,Ft Wetherill,4,OFF,Q0,SL,3,,Tal,Tal,Jack
2016,8,8/24/16,Ft Wetherill,4,ON,Q8,LADI,3,,Tal,Tal,Jack
2016,8,8/24/16,Ft Wetherill,4,ON,Q8,LDJ,3,,Tal,Tal,Jack
2016,8,8/24/16,Ft Wetherill,4,ON,Q8,SDS,2,,Tal,Tal,Jack
2016,8,8/24/16,Ft Wetherill,4,ON,Q8,MESE,3,,Tal,Tal,Jack
2016,8,8/24/16,Ft Wetherill,4,OFF,Q16,LADI,1,,Tal,Tal,Jack
2016,8,8/24/16,Ft Wetherill,4,OFF,Q16,SDS,2,,Tal,Tal,Jack
2016,8,8/24/16,Ft Wetherill,4,OFF,Q16,MESE,27,,Tal,Tal,Jack
2016,8,8/24/16,Ft Wetherill,4,OFF,Q16,SLJ,14,,Tal,Tal,Jack
2016,8,8/24/16,Ft Wetherill,4,OFF,Q16,PHGU,4,,Tal,Tal,Jack
2016,8,8/24/16,Ft Wetherill,4,OFF,Q16,BOEC,1,,Tal,Tal,Jack
2016,8,8/24/16,Ft Wetherill,4,ON,Q24,SL,1,,Tal,Tal,Jack
2016,8,8/24/16,Ft Wetherill,4,ON,Q24,MESE,42,,Tal,Tal,Jack
2016,8,8/24/16,Ft Wetherill,4,ON,Q24,PHGU,3,,Tal,Tal,Jack
2016,8,8/24/16,Ft Wetherill,4,ON,Q24,HOAS,1,,Tal,Tal,Jack
2016,8,8/24/16,Ft Wetherill,4,OFF,Q32,LADI,1,,Tal,Tal,Jack
2016,8,8/24/16,Ft Wetherill,4,OFF,Q32,LDJ,1,,Tal,Tal,Jack
2016,8,8/24/16,Ft Wetherill,4,OFF,Q32,MESE,4,,Tal,Tal,Jack
2016,8,8/24/16,Ft Wetherill,4,OFF,Q32,PHGU,2,,Tal,Tal,Jack
2016,8,8/24/16,Ft Wetherill,4,OFF,Q32,BUCR,1,,Tal,Tal,Jack
2016,8,8/24/16,Ft Wetherill,4,OFF,Q32,URFE,1,,Tal,Tal,Jack
2016,8,8/24/16,Ft Wetherill,4,ON,Q40,SL,4,,Tal,Tal,Jack
2016,8,8/24/16,Ft Wetherill,4,ON,Q40,MESE,5,,Tal,Tal,Jack
2016,8,8/24/16,Ft Wetherill,4,ON,Q40,SLJ,1,,Tal,Tal,Jack
2016,8,8/24/16,Ft Wetherill,4,ON,Q40,PHGU,15,,Tal,Tal,Jack
2016,8,8/24/16,Ft Wetherill,4,ON,Q40,HOAS,2,,Tal,Tal,Jack
2016,8,8/24/16,Ft Wetherill,4,ON,Q40,ASFO,1,,Tal,Tal,Jack