Year,Month,Day,Date,Site,Transect,SP_CODE,BLADE LENGTH (CM),WIDTH (CM),STIPE LENGTH (CM),OBSERVER,NOTES,ENTERED,CHECKED BY
2018,9,10,9/10/18,Fort Wetherill,2,SL,45,7,6,Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,10,9/10/18,Fort Wetherill,2,SL,52,6,7,Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,10,9/10/18,Fort Wetherill,2,SL,36,5,4,Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,10,9/10/18,Fort Wetherill,2,SL,40,5,4,Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,10,9/10/18,Fort Wetherill,2,SL,48,4,6,Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,10,9/10/18,Fort Wetherill,2,SL,42,6,6,Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,10,9/10/18,Fort Wetherill,2,SL,43,5,18,Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,10,9/10/18,Fort Wetherill,2,SL,39,6,4,Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,10,9/10/18,Fort Wetherill,2,SL,45,8,5,Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,10,9/10/18,Fort Wetherill,2,SL,38,5,4,Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,10,9/10/18,Fort Wetherill,2,LADI,53,33,7,Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,10,9/10/18,Fort Wetherill,2,LADI,56,25,15,Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,10,9/10/18,Fort Wetherill,2,LADI,69,19,20,Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,10,9/10/18,Fort Wetherill,2,LADI,33,22,6,Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,10,9/10/18,Fort Wetherill,2,LADI,61,36,4,Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,10,9/10/18,Fort Wetherill,2,LADI,77,29,*,Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,10,9/10/18,Fort Wetherill,2,LADI,74,35,6,Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,10,9/10/18,Fort Wetherill,2,LADI,48,22,5,Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,10,9/10/18,Fort Wetherill,2,LADI,54,16,10,Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,10,9/10/18,Fort Wetherill,2,LADI,54,23,*,Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,7,9/7/18,Fort Wetherill,3,SL,31,6.5,2,Tal Ben Horin & Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,7,9/7/18,Fort Wetherill,3,SL,32,6,5,Tal Ben Horin & Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,7,9/7/18,Fort Wetherill,3,SL,46,5.5,9,Tal Ben Horin & Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,7,9/7/18,Fort Wetherill,3,SL,44,5,3,Tal Ben Horin & Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,7,9/7/18,Fort Wetherill,3,SL,36,6,6,Tal Ben Horin & Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,7,9/7/18,Fort Wetherill,3,SL,44,5.5,5,Tal Ben Horin & Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,7,9/7/18,Fort Wetherill,3,SL,51,4,4,Tal Ben Horin & Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,7,9/7/18,Fort Wetherill,3,SL,30,3,3.5,Tal Ben Horin & Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,7,9/7/18,Fort Wetherill,3,SL,40,5,5,Tal Ben Horin & Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,7,9/7/18,Fort Wetherill,3,SL,64,12,7,Tal Ben Horin & Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,7,9/7/18,Fort Wetherill,3,SL,47,5,3,Tal Ben Horin & Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,7,9/7/18,Fort Wetherill,3,SL,45,3,4,Tal Ben Horin & Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,7,9/7/18,Fort Wetherill,3,SL,41,4,2,Tal Ben Horin & Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,7,9/7/18,Fort Wetherill,3,SL,27,6,3,Tal Ben Horin & Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,10,9/10/18,Fort Wetherill,4,SL,68,9,14,Tal Ben Horin & Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,10,9/10/18,Fort Wetherill,4,SL,103,12,14,Tal Ben Horin & Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,10,9/10/18,Fort Wetherill,4,SL,50,8,5,Tal Ben Horin & Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,10,9/10/18,Fort Wetherill,4,SL,47,6,11,Tal Ben Horin & Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,10,9/10/18,Fort Wetherill,4,SL,51,6,7,Tal Ben Horin & Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,10,9/10/18,Fort Wetherill,4,SL,150,18,5,Tal Ben Horin & Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,10,9/10/18,Fort Wetherill,4,SL,48,5,5,Tal Ben Horin & Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,10,9/10/18,Fort Wetherill,4,SL,55,7,7,Tal Ben Horin & Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,10,9/10/18,Fort Wetherill,4,SL,52,5,7,Tal Ben Horin & Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,10,9/10/18,Fort Wetherill,4,SL,39,5,6,Tal Ben Horin & Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,10,9/10/18,Fort Wetherill,1,SL,40,7,10,Tal Ben Horin & Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,10,9/10/18,Fort Wetherill,1,LADI,76,34,9,Tal Ben Horin & Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,10,9/10/18,Fort Wetherill,1,LADI,76,34,8,Tal Ben Horin & Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,10,9/10/18,Fort Wetherill,1,SL,75,5,6,Tal Ben Horin & Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,10,9/10/18,Fort Wetherill,1,SL,45,4,6,Tal Ben Horin & Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,10,9/10/18,Fort Wetherill,1,SL,34,5,5,Tal Ben Horin & Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,10,9/10/18,Fort Wetherill,1,LADI,48,21,5,Tal Ben Horin & Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,10,9/10/18,Fort Wetherill,1,LADI,54,26,8,Tal Ben Horin & Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,10,9/10/18,Fort Wetherill,1,LADI,64,29,7,Tal Ben Horin & Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,10,9/10/18,Fort Wetherill,1,SL,62,4,5,Tal Ben Horin & Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,10,9/10/18,Fort Wetherill,1,SL,31,6,3,Tal Ben Horin & Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,10,9/10/18,Fort Wetherill,1,SL,59,9,7,Tal Ben Horin & Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,10,9/10/18,Fort Wetherill,1,SL,38,5,7,Tal Ben Horin & Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,10,9/10/18,Fort Wetherill,1,SL,40,6,3,Tal Ben Horin & Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,10,9/10/18,Fort Wetherill,1,LADI,84,45,8,Tal Ben Horin & Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,10,9/10/18,Fort Wetherill,1,SL,140,9,8,Tal Ben Horin & Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,10,9/10/18,Fort Wetherill,1,LADI,71,46,12,Tal Ben Horin & Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,10,9/10/18,Fort Wetherill,1,LADI,71,40,15,Tal Ben Horin & Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,10,9/10/18,Fort Wetherill,1,LADI,61,32,16,Tal Ben Horin & Austin Humphries,,Lauren Josephs,Austin Humphries